NAME,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,LOCERROR,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,OBJECTID,SHAPE,SHAPELEN
Primary Route,11000902,1957.158,2104.8058,2019/01/01 00:00:00+00,,{B0054F21-B2A5-40AC-8268-29892E1C721E},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152102,,0
Primary Route,11000902,0,273.3533,2019/01/01 00:00:00+00,,{CAF78F5C-AA74-4806-AE85-9C8DF8D88139},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152103,,0
Primary Route,11000902,1478.0614,1616.1194,2019/01/01 00:00:00+00,,{88FD22A3-D251-4019-BAFE-853D1D9951C7},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152104,,0
Primary Route,11000902,273.3533,472.8558,2019/01/01 00:00:00+00,,{93EB612F-8E1E-4D22-9F9F-7175E42FB734},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152105,,0
Primary Route,11000902,2223.866,2387.9662,2019/01/01 00:00:00+00,,{B06B5AC4-EF38-4C40-813D-62E26CCEC2EE},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152106,,0
Primary Route,11001202,872.439,1038.5419,2019/01/01 00:00:00+00,,{0D5413D0-22F9-4814-884B-78CD5FDFB658},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152107,,0
Primary Route,11001202,1142.125,1207.3201,2019/01/01 00:00:00+00,,{5134C046-1B9C-48D2-95BC-C9DA99C63099},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152108,,0
Primary Route,11001202,506.4838,630.1211,2019/01/01 00:00:00+00,,{556E15EE-C047-4EF4-98C5-F17B3193E41A},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152109,,0
Primary Route,11001202,764.5135,872.439,2019/01/01 00:00:00+00,,{76073435-07DD-4072-96A8-C72BF2C2E17E},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152110,,0
Primary Route,11001202,1207.3201,1339.0161,2019/01/01 00:00:00+00,,{CEB183DC-60F2-4B5F-AD83-0BC4EE846AFD},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152111,,0
Primary Route,11001202,0,180.8315,2019/01/01 00:00:00+00,,{D013B33B-C310-4834-B9F2-21DEB13589BA},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152112,,0
Primary Route,11001202,1474.6436,1537.2579,2019/01/01 00:00:00+00,,{D581C15E-0D5D-4047-8F65-C9679765B3F3},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152113,,0
Primary Route,11001202,1339.0161,1474.6436,2019/01/01 00:00:00+00,,{047B4430-19F8-45B2-8691-414870E85BE8},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152114,,0
Primary Route,11001202,630.1211,764.5135,2019/01/01 00:00:00+00,,{AB9C5458-836E-4A7C-823D-31E8A221A11C},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152115,,0
Primary Route,11001202,1038.5419,1142.125,2019/01/01 00:00:00+00,,{26B053C8-9AC8-4073-8DD6-6795100AECFD},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152116,,0
Primary Route,11001202,180.8315,506.4838,2019/01/01 00:00:00+00,,{C36FE17B-C74E-4775-9473-B0F8606C91AD},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152117,,0
Primary Route,11001242,0,290.9294,2019/01/01 00:00:00+00,,{A09BF7FC-90AC-4DB5-8420-3E9638D15CAA},NO ERROR,,,RH,2020/09/21 13:00:50+00,,152118,,0
